SBA Disaster Loan Data,,,,,,,Report Run Date:  12/1/2017 ,,,,,,
,,,,,,,Report Run Time:   3:09:56PM,,,,,,
Reporting Period:  10/01/2016 - 09/30/2017,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14911,14912,4285,NC-00081,BROADWAY,27505,HARNETT,NC,"31,522.00","31,522.00",0.00,"31,600.00","31,600.00",0.00
14911,14912,4285,NC-00081,BUIES CREEK,27506,HARNETT,NC,"35,676.00","35,676.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,BUNNLEVEL,28323,HARNETT,NC,"225,321.00","119,011.00","106,310.00","132,000.00","101,500.00","30,500.00"
14911,14912,4285,NC-00081,BURGAW,28425,PENDER,NC,"155,211.00","138,151.00","17,060.00","115,800.00","100,100.00","15,700.00"
14911,14912,4285,NC-00081,BUXTON,27920,DARE,NC,"140,299.00","114,156.00","26,143.00","135,300.00","109,100.00","26,200.00"
14911,14912,4285,NC-00081,CALYPSO,28325,DUPLIN,NC,"3,800.00",0.00,"3,800.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,CAMDEN,27921,CAMDEN,NC,"178,546.00","139,376.00","39,170.00","131,200.00","105,900.00","25,300.00"
14911,14912,4285,NC-00081,CAMERON,28326,HARNETT,NC,"89,748.00","80,948.00","8,800.00","76,000.00","67,200.00","8,800.00"
14911,14912,4285,NC-00081,CAMERON,28326,MOORE,NC,"58,657.00","49,907.00","8,750.00","58,000.00","49,200.00","8,800.00"
14911,14912,4285,NC-00081,CAROLINA SHORES,28467,BRUNSWICK,NC,"17,508.00","17,508.00",0.00,"17,500.00","17,500.00",0.00
14911,14912,4285,NC-00081,CARTHAGE,28327,MOORE,NC,"40,396.00","40,396.00",0.00,"36,100.00","36,100.00",0.00
14911,14912,4285,NC-00081,CARY,27511,WAKE,NC,"126,544.00","116,544.00","10,000.00","111,000.00","110,100.00",0.00
14911,14912,4285,NC-00081,CEDAR ISLAND,28520,CARTERET,NC,"19,580.00","19,580.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,CERRO GORDO,28430,COLUMBUS,NC,"155,050.00","148,820.00","6,230.00","16,600.00","15,700.00",900.00
14911,14912,4285,NC-00081,CHADBOURN,28431,COLUMBUS,NC,"391,157.00","352,552.00","38,605.00","158,300.00","142,600.00","15,700.00"
14911,14912,4285,NC-00081,CHAPEL HILL,27517,CHATHAM,NC,"69,419.00","69,419.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,CHOCOWINITY,27817,BEAUFORT,NC,"45,366.00","32,398.00","12,968.00","39,900.00","27,500.00","12,400.00"
14911,14912,4285,NC-00081,CLARENDON,28432,COLUMBUS,NC,"116,977.00","111,027.00","5,950.00","89,800.00","84,800.00","5,000.00"
14911,14912,4285,NC-00081,CLARKTON,28433,BLADEN,NC,"573,659.00","489,749.00","83,910.00","315,000.00","266,200.00","48,800.00"
14911,14912,4285,NC-00081,CLARKTON,28433,COLUMBUS,NC,"144,896.00","109,976.00","34,920.00","74,800.00","69,000.00","5,800.00"
14911,14912,4285,NC-00081,CLAYTON,27520,JOHNSTON,NC,"35,806.00","26,956.00","8,850.00","25,000.00","25,000.00",0.00
14911,14912,4285,NC-00081,CLINTON,28328,SAMPSON,NC,"678,313.00","584,298.00","94,015.00","376,100.00","331,800.00","44,300.00"
14911,14912,4285,NC-00081,CLINTON,28328,SCOTLAND,NC,"24,463.00","24,113.00",350.00,"24,500.00","24,100.00",400.00
14911,14912,4285,NC-00081,COATS,27521,HARNETT,NC,"21,296.00","17,496.00","3,800.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,COFIELD,27922,HERTFORD,NC,"126,830.00","71,730.00","55,100.00",0.00,0.00,0.00
