Zip Code,Location,City,Avg. Income/H/hold
617,"18.437505, -66.559407","Barceloneta, Puerto Rico","$11,511.00"
714,"17.995867, -66.055529","Arroyo, Puerto Rico","$11,484.00"
718,"18.232010, -65.756036","Naguabo, Puerto Rico","$11,461.00"
677,"18.332560, -67.227006","Rincon, Puerto Rico","$11,460.00"
667,"18.016871, -67.037189","Lajas, Puerto Rico","$11,426.00"
602,"18.358577, -67.174708","Aguada, Puerto Rico","$11,384.00"
656,"18.037037, -66.792720","Guayanilla, Puerto Rico","$11,361.00"
704,"17.969419, -66.224316","Aguirre, Puerto Rico","$11,340.00"
794,"18.199014, -66.309782","Barranquitas, Puerto Rico","$11,322.00"
751,"18.015522, -66.258052","Salinas, Puerto Rico","$11,298.00"
676,"18.377751, -67.080344","Moca, Puerto Rico","$11,271.00"
664,"18.210897, -66.586977","Jayuya, Puerto Rico","$11,220.00"
,,,
682,"18.183507, -67.155673","Mayaguez, Puerto Rico","$11,121.00"
782,"18.227881, -66.225428","Comerio, Puerto Rico","$11,027.00"
685,"18.336577, -66.974579","San Sebastian, Puerto Rico","$11,014.00"
730,"18.025316, -66.620976","Ponce, Puerto Rico","$10,992.00"
638,"18.291074, -66.513308","Ciales, Puerto Rico","$10,986.00"
965,"18.425004, -66.121281","Guaynabo, Puerto Rico","$10,978.00"
603,"18.452658, -67.125609","Aguadilla, Puerto Rico","$10,748.00"
715,"17.995814, -66.562351","Mercedita, Puerto Rico","$10,556.00"
616,"18.403670, -66.664759","Bajadero, Puerto Rico","$10,476.00"
915,"18.437320, -66.047551","San Juan, Puerto Rico","$10,038.00"
720,"18.215975, -66.433971","Orocovis, Puerto Rico","$9,945.00"
641,"18.269555, -66.705210","Utuado, Puerto Rico","$9,901.00"
601,"18.181560, -66.758147","Adjuntas, Puerto Rico","$9,888.00"
653,"17.995409, -66.900374","Guanica, Puerto Rico","$9,770.00"
669,"18.278219, -66.866712","Lares, Puerto Rico","$9,758.00"
901,"18.465424, -66.104723","San Juan, Puerto Rico","$9,751.00"
740,"18.334260, -65.632493","Puerto Real, Puerto Rico","$9,748.00"
647,"17.965557, -66.945483","Ensenada, Puerto Rico","$9,607.00"
670,"18.227596, -66.977580","Las Marias, Puerto Rico","$9,556.00"
765,"18.124978, -65.441602","Vieques, Puerto Rico","$9,331.00"
606,"18.173904, -66.935931","Maricao, Puerto Rico","$9,243.00"
772,"18.438969, -65.905174","Loiza, Puerto Rico","$8,962.00"
631,"18.203834, -66.864759","Castaner, Puerto Rico","$8,345.00"
906,"18.464628, -66.101015","San Juan, Puerto Rico","$7,361.00"
913,"18.450154, -66.043647","San Juan, Puerto Rico","$6,450.00"
