Zip Code,Location,City,Avg. Income/H/hold
32750,"28.707950, -81.348035","Longwood, Florida","$55,434.00"
32751,"28.630332, -81.361802","Maitland, Florida","$55,313.00"
34238,"27.231817, -82.468637","Sarasota, Florida","$55,292.00"
33543,"28.204469, -82.330372","Wesley Chapel, Florida","$55,121.00"
32224,"30.274374, -81.466226","Jacksonville, Florida","$55,103.00"
,,,
32073,"30.155408, -81.749722","Orange Park, Florida","$55,056.00"
33625,"28.071096, -82.558203","Tampa, Florida","$54,691.00"
33325,"26.108452, -80.317923","Fort Lauderdale, Florida","$54,682.00"
32837,"28.384161, -81.413692","Orlando, Florida","$54,676.00"
32578,"30.600662, -86.459925","Niceville, Florida","$54,534.00"
33458,"26.936255, -80.131207","Jupiter, Florida","$54,530.00"
34639,"28.259302, -82.458540","Land O Lakes, Florida","$54,383.00"
32561,"30.377637, -87.068051","Gulf Breeze, Florida","$54,303.00"
34734,"28.537037, -81.515435","Gotha, Florida","$54,286.00"
34251,"27.378368, -82.183295","Myakka City, Florida","$54,216.00"
34117,"26.181295, -81.595879","Naples, Florida","$54,141.00"
33549,"28.153574, -82.476204","Lutz, Florida","$54,010.00"
34110,"26.295327, -81.784045","Naples, Florida","$53,761.00"
33408,"26.846754, -80.062392","North Palm Beach, Florida","$53,730.00"
32266,"30.317623, -81.412024","Neptune Beach, Florida","$53,727.00"
32829,"28.502071, -81.261792","Orlando, Florida","$53,719.00"
33624,"28.082145, -82.522047","Tampa, Florida","$53,565.00"
33544,"28.269122, -82.301326","Wesley Chapel, Florida","$53,427.00"
33042,"24.696754, -81.473856","Summerland Key, Florida","$53,409.00"
33196,"25.664774, -80.603219","Miami, Florida","$53,333.00"
32951,"27.962972, -80.507871","Melbourne Beach, Florida","$53,094.00"
32226,"30.481240, -81.506148","Jacksonville, Florida","$53,008.00"
33467,"26.594833, -80.201334","Lake Worth, Florida","$52,935.00"
33129,"25.754485, -80.205360","Miami, Florida","$52,881.00"
33186,"25.654346, -80.412286","Miami, Florida","$52,830.00"
34120,"26.305965, -81.579387","Naples, Florida","$52,768.00"
34109,"26.240842, -81.763823","Naples, Florida","$52,591.00"
33437,"26.516231, -80.168113","Boynton Beach, Florida","$52,531.00"
32092,"29.936180, -81.507287","Saint Augustine, Florida","$52,475.00"
34243,"27.395745, -82.521176","Sarasota, Florida","$52,418.00"
32541,"30.391526, -86.411029","Destin, Florida","$52,388.00"
33317,"26.112600, -80.227875","Fort Lauderdale, Florida","$52,327.00"
33428,"26.356371, -80.240048","Boca Raton, Florida","$52,266.00"
32605,"29.677087, -82.369735","Gainesville, Florida","$52,169.00"
34681,"28.085830, -82.778432","Crystal Beach, Florida","$52,125.00"
33411,"26.740787, -80.207794","West Palm Beach, Florida","$52,025.00"
34683,"28.084743, -82.757546","Palm Harbor, Florida","$51,818.00"
33912,"26.524652, -81.825177","Fort Myers, Florida","$51,708.00"
33176,"25.659873, -80.358354","Miami, Florida","$51,492.00"
33173,"25.702320, -80.357503","Miami, Florida","$51,445.00"
34987,"27.301825, -80.485330","Port Saint Lucie, Florida","$51,394.00"
32831,"28.456132, -81.132092","Orlando, Florida","$51,389.00"
33572,"27.769985, -82.410047","Apollo Beach, Florida","$51,378.00"
32579,"30.469047, -86.582447","Shalimar, Florida","$51,315.00"
34219,"27.578313, -82.383219","Parrish, Florida","$51,250.00"
33510,"27.955306, -82.299483","Brandon, Florida","$51,243.00"
32311,"30.385996, -84.140171","Tallahassee, Florida","$51,166.00"
34677,"28.052765, -82.675847","Oldsmar, Florida","$51,121.00"
33511,"27.909778, -82.295738","Brandon, Florida","$51,114.00"
32034,"30.598246, -81.503597","Fernandina Beach, Florida","$51,096.00"
